bbox_width,bbox_height,bbox_area,rel_bbox_width,rel_bbox_height,rel_bbox_area,bbox_aspect_ratio,log_bbox_area
312,138,43056,0.4333333333333333,0.1916666666666666,0.0830555555555555,2.260869565217391,10.670280098263682
159,141,22419,0.2208333333333333,0.1958333333333333,0.0432465277777777,1.127659574468085,10.017708696626151
166,129,21414,0.2305555555555555,0.1791666666666666,0.0413078703703703,1.2868217054263567,9.971846890049472
157,94,14758,0.2180555555555555,0.1305555555555555,0.0284683641975308,1.6702127659574468,9.599608345181776
262,304,79648,0.3638888888888889,0.4222222222222222,0.153641975308642,0.8618421052631579,11.285384760331572
215,115,24725,0.2986111111111111,0.1597222222222222,0.0476948302469135,1.8695652173913044,10.115610600566873
245,171,41895,0.3402777777777778,0.2375,0.0808159722222222,1.432748538011696,10.642945635959324
65,59,3835,0.0902777777777777,0.0819444444444444,0.007397762345679,1.1016949152542372,8.252185436003328
151,113,17063,0.2097222222222222,0.1569444444444444,0.0329147376543209,1.336283185840708,9.744726260151186
43,37,1591,0.0597222222222222,0.0513888888888888,0.0030690586419753,1.162162162162162,7.3727463664043285
226,173,39098,0.3138888888888889,0.2402777777777777,0.075420524691358,1.30635838150289,10.57385217019883
172,128,22016,0.2388888888888889,0.1777777777777777,0.0424691358024691,1.34375,9.999570161213173
73,67,4891,0.1013888888888888,0.0930555555555555,0.009434799382716,1.0895522388059702,8.495356496807062
59,32,1888,0.0819444444444444,0.0444444444444444,0.0036419753086419,1.84375,7.543802867501509
118,122,14396,0.1638888888888889,0.1694444444444444,0.027770061728395,0.9672131147540983,9.574775130526355
48,63,3024,0.0666666666666666,0.0875,0.0058333333333333,0.7619047619047619,8.014666370464942
114,93,10602,0.1583333333333333,0.1291666666666666,0.0204513888888888,1.2258064516129032,9.268892258925797
172,166,28552,0.2388888888888889,0.2305555555555555,0.0550771604938271,1.036144578313253,10.259517288372871
168,94,15792,0.2333333333333333,0.1305555555555555,0.0304629629629629,1.7872340425531914,9.667322082870054
243,244,59292,0.3375,0.3388888888888889,0.114375,0.9959016393442623,10.990246534173238
505,317,160085,0.7013888888888888,0.4402777777777777,0.3088059413580247,1.5930599369085174,11.98346644981458
132,113,14916,0.1833333333333333,0.1569444444444444,0.0287731481481481,1.168141592920354,9.61025678115393
224,119,26656,0.3111111111111111,0.1652777777777777,0.0514197530864197,1.8823529411764706,10.190807059268902
235,146,34310,0.3263888888888889,0.2027777777777777,0.0661844135802469,1.6095890410958904,10.443221281449327
91,95,8645,0.1263888888888888,0.1319444444444444,0.016676311728395,0.9578947368421052,9.064852065227576
124,247,30628,0.1722222222222222,0.3430555555555555,0.0590817901234567,0.5020242914979757,10.329702551562889
108,38,4104,0.15,0.0527777777777777,0.0079166666666666,2.8421052631578947,8.31996102188653
349,444,154956,0.4847222222222222,0.6166666666666667,0.298912037037037,0.786036036036036,11.950902938058677
207,177,36639,0.2875,0.2458333333333333,0.0706770833333333,1.1694915254237288,10.508895818788067
158,123,19434,0.2194444444444444,0.1708333333333333,0.0374884259259259,1.2845528455284554,9.874830843286324
250,94,23500,0.3472222222222222,0.1305555555555555,0.0453317901234567,2.6595744680851063,10.064798252418377
216,142,30672,0.3,0.1972222222222222,0.0591666666666666,1.5211267605633803,10.33113806777952
182,169,30758,0.2527777777777777,0.2347222222222222,0.059332561728395,1.0769230769230769,10.3339379133382
168,108,18144,0.2333333333333333,0.15,0.035,1.5555555555555556,9.806150319647172
92,34,3128,0.1277777777777777,0.0472222222222222,0.0060339506172839,2.7058823529411766,8.048468743668883
95,39,3705,0.1319444444444444,0.0541666666666666,0.0071469907407407,2.4358974358974357,8.217708406845306
235,132,31020,0.3263888888888889,0.1833333333333333,0.0598379629629629,1.7803030303030303,10.3424196734772
81,64,5184,0.1125,0.0888888888888888,0.01,1.265625,8.553525120663627
48,26,1248,0.0666666666666666,0.0361111111111111,0.0024074074074074,1.8461538461538463,7.130098510125578
180,92,16560,0.25,0.1277777777777777,0.0319444444444444,1.9565217391304348,9.714805812589491
105,82,8610,0.1458333333333333,0.1138888888888888,0.0166087962962962,1.2804878048780488,9.060795734696166
183,135,24705,0.2541666666666666,0.1875,0.04765625,1.3555555555555556,10.11480140809676
168,196,32928,0.2333333333333333,0.2722222222222222,0.0635185185185185,0.8571428571428571,10.402109007463212
236,145,34220,0.3277777777777778,0.2013888888888889,0.0660108024691358,1.6275862068965516,10.440594769696007
230,69,15870,0.3194444444444444,0.0958333333333333,0.0306134259259259,3.3333333333333335,9.672248823507559
104,38,3952,0.1444444444444444,0.0527777777777777,0.0076234567901234,2.736842105263158,8.282230063296685
74,28,2072,0.1027777777777777,0.0388888888888888,0.0039969135802469,2.642857142857143,7.636752112435779
103,88,9064,0.1430555555555555,0.1222222222222222,0.0174845679012345,1.1704545454545454,9.112176123188952
487,212,103244,0.6763888888888889,0.2944444444444444,0.1991589506172839,2.297169811320755,11.544860083500573
45,41,1845,0.0625,0.0569444444444444,0.0035590277777777,1.0975609756097562,7.520776415062797
110,129,14190,0.1527777777777778,0.1791666666666666,0.0273726851851851,0.8527131782945736,9.560363239834537
162,142,23004,0.225,0.1972222222222222,0.044375,1.1408450704225352,10.043466862589568
114,56,6384,0.1583333333333333,0.0777777777777777,0.0123148148148148,2.0357142857142856,8.76170676846664
201,147,29547,0.2791666666666667,0.2041666666666666,0.0569965277777777,1.3673469387755102,10.293771338648629
255,114,29070,0.3541666666666667,0.1583333333333333,0.0560763888888888,2.236842105263158,10.277496392686066
