Model,Accuracy,Macro Precision,Macro Recall,Macro F1,ROC-AUC
Random Forest,0.5808580858085809,0.5792396565286076,0.5612838697945081,0.5620163273855595,0.759223623449095
XGBoost,0.570957095709571,0.5779256290515057,0.5468591691995947,0.547136132194638,0.759526481429177
LightGBM,0.5841584158415841,0.5838997821350763,0.5684604993115632,0.5666238415656117,0.7575544802778523
Gradient Boosting,0.5973597359735974,0.6087797502526184,0.5721105135998753,0.5826301231913122,0.7818503294611113
Support Vector Machine,0.6402640264026402,0.672008547008547,0.6072727508897721,0.6245859687877191,0.8028356974939873
