Scenario,Base Cost Assumption,Total Estimated Planning Cost,Major Pothole Cost,Medium Pothole Cost,Minor Pothole Cost,Critical Priority Cost,High Priority Cost,Medium Priority Cost,Low Priority Cost,Review Required Cost
Low Cost,50,190532.84269259265,91892.2227746012,86876.12301772746,11764.496900263963,72448.12480953305,61984.42920493699,49704.94526311947,5991.49343448738,403.84998051572694
Baseline Cost,100,381065.6853851853,183784.4455492024,173752.2460354549,23528.993800527925,144896.2496190661,123968.85840987398,99409.89052623895,11982.98686897476,807.6999610314539
High Cost,200,762131.3707703706,367568.8910984048,347504.4920709098,47057.98760105585,289792.4992381322,247937.71681974796,198819.7810524779,23965.97373794952,1615.3999220629078
